"time","SP_1","SP_2","SP_3","SP_4","SP_5","SP_6"
23,1.1191009850976,0.991585062944918,0.722853171058116,1.15320019780007,0.784991300523683,0.664127621685712
24,1.15257365470514,1.02192342663463,0.742562813571637,1.1833037137616,0.806485279031038,0.682298996948465
25,1.10039118376178,0.974627841373885,0.711953824689343,1.13628104250693,0.773046775405086,0.653857887002163
26,1.12628569179659,0.99922507358197,0.723862335921428,1.15248143533919,0.786280925871339,0.665319207347732
27,1.11234001092927,0.986166723238953,0.717830392541983,1.14755071750501,0.779913300116047,0.661413086711179
28,1.11645414482132,0.989778578340173,0.718638087649659,1.14485797741529,0.780614580729764,0.660274485189515
29,1.13256513574488,1.00454111139265,0.729801744787209,1.16547066104942,0.792912324957898,0.672186833766267
30,1.13142621180419,1.00240819562424,0.730174519812298,1.16443841845318,0.793023897181275,0.670760124773388
31,1.1437074424671,1.01382486635622,0.737919185620243,1.17642808583796,0.801358905738235,0.677869980953336
32,1.12322133249967,0.995062193857914,0.725767400088962,1.15730820986763,0.788045686521218,0.666344350149745
33,1.12899921722672,1.00099370599254,0.727663190408783,1.1594986903878,0.790240699971657,0.668460415687839
34,1.1329288615555,1.00424178322066,0.730975450871451,1.16651618317739,0.793954329985851,0.672250287387824
35,1.1148228956764,0.987909595786434,0.71941017439673,1.14679375784367,0.781249806565288,0.660655427144298
36,1.13355616551169,1.00534441422938,0.730047648138588,1.16420946939026,0.793020151896909,0.671521334904923
37,1.12373529614127,0.99579307811896,0.725456361925526,1.15781185558453,0.787945827148999,0.666972948777775
38,1.13198014112122,1.00349341238089,0.729648988515351,1.16279557986899,0.792435994559487,0.67027425287559
39,1.12889907331309,1.00060519836487,0.728595579839205,1.16258900222467,0.791323843775738,0.669871389640176
40,1.1235942755737,0.99582630185305,0.724713328723301,1.15515116519356,0.787038522144254,0.665651109504861
41,1.13377590833967,1.00523951664644,0.730970029902892,1.165958538126,0.793954131089463,0.67216162900608
42,1.11254448619238,0.985862932532892,0.71812980944511,1.1453947176967,0.77990799504186,0.659819455569081
43,1.12907029948082,1.00138470355063,0.726897690572465,1.15882271889709,0.789601413634309,0.668483238934902
44,1.14946792948582,1.01882396231634,0.74171083320503,1.18408347114546,0.805683421591657,0.682327519088081
