"time","SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","SP_9","SP_10","SP_11","SP_12","SP_13","SP_14","SP_15","SP_16"
241,0.769660580452026,0.833714924547435,0.976197182505634,1.02089266584818,0.684287951223084,0.69837294444975,1.00192917353424,1.56386289428275,0.680286832111227,0.41771473044015,0.791840328298803,0.415381131899503,0.530241819986606,0.88664201304063,0.414919028276048,0.951704600826969
242,0.779105890158618,0.849505942479945,0.996736679762301,1.03182313699286,0.694866432769617,0.70531783267603,1.00578847883429,1.58772352672475,0.687674536790615,0.422400271522798,0.804532501767646,0.422264613483094,0.53609347651251,0.891287402727231,0.420351641398759,0.961999244962473
243,0.785422215523403,0.855197700118294,0.998315266983247,1.04186368202028,0.699277531787395,0.711956546367151,1.01795014203873,1.59478189479832,0.6930634289407,0.425260250597926,0.80925034687449,0.425250376734595,0.541239525484859,0.900811041355572,0.423417786125333,0.971236789112119
244,0.792882927579658,0.860977652854063,1.00859417513036,1.05128408874642,0.705363129024757,0.719102829567748,1.02930780815634,1.61364615429122,0.700731328566983,0.430307910260242,0.81639624741566,0.42930075043379,0.546753945039923,0.910890765061984,0.427913154882666,0.980221662181944
245,0.776333970993645,0.841475011237329,0.984743202234294,1.02996441417651,0.690353872597135,0.70426356580456,1.01030638865588,1.57606012923591,0.685853886450293,0.420998705288958,0.798937353979016,0.418998891701149,0.534832323455689,0.893985837437899,0.418357084017834,0.960023072142294
246,0.788938141357409,0.858607850188832,1.00704277915297,1.04514087038157,0.70299870637293,0.714689825784315,1.0207484611239,1.60734675979615,0.696777298109345,0.42804120824798,0.813810281122135,0.427235011484432,0.543131862261517,0.904226142345943,0.425678862669985,0.974466500896053
247,0.783267073254251,0.850336449342968,0.993333839752236,1.03941499143023,0.696713787946131,0.710496115697393,1.01832901805165,1.588979206444,0.691553298310125,0.424347338221296,0.806188644576437,0.423028418503652,0.539601497708657,0.900969908540607,0.422021519253174,0.968828373411521
248,0.795506875861136,0.864038866037687,1.01337156701776,1.05423892958718,0.708115201011071,0.721209535906571,1.03166129224292,1.62028538175488,0.703040986741368,0.431857204909331,0.819636397984195,0.430536695982777,0.548054529926073,0.913462730677512,0.429306127004109,0.98299369275335
249,0.782932938061861,0.848243360153736,0.99164933904013,1.03910005190175,0.696042090079938,0.710440361335084,1.01986551443226,1.58760732228532,0.691535652564591,0.424352020097866,0.805395093373026,0.422109895163251,0.539231192241366,0.902300015072817,0.421687218181539,0.968454046814477
250,0.792187405330837,0.860374115537229,1.00966549358959,1.04958007331193,0.705366125747564,0.718065093946922,1.02699837069587,1.61394055445744,0.70009168766255,0.43011364286121,0.816457931855845,0.428474649622055,0.545417738325059,0.909621038605431,0.427440962405096,0.978640698931782
251,0.775378237634717,0.840879175344962,0.982814007276773,1.02897659670047,0.68961118058949,0.703410007382467,1.00898491192401,1.57227518548297,0.684632874010639,0.420080561194873,0.79795775426722,0.418159099638089,0.533861978219979,0.892808903506637,0.417585836888541,0.959012488923409
252,0.800118623212076,0.870792591592763,1.02182708393381,1.05974330135489,0.712941092472879,0.724876817722428,1.03488450355792,1.63133733669642,0.706828004649048,0.434245022678336,0.825323558300056,0.433513430842453,0.550932590688132,0.916783416847214,0.431898200513753,0.988197051812092
