"time","SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","SP_9","SP_10","SP_11"
42,0.753151543588633,0.953058646386647,1.01259870146905,0.780386887019105,1.41553266796535,0.548067370407935,0.793238145691066,0.594960732430594,0.501578399567913,0.609244643456029,0.972398934571377
43,0.75590672468689,0.951621076310165,1.00823080433793,0.781059998597226,1.41687605592464,0.550041885602049,0.793855173524961,0.595060172821064,0.503801042139569,0.610815889163883,0.977755618918909
44,0.741244653459431,0.933360885620377,0.991640684367708,0.766514785835568,1.39031687879275,0.539926813296487,0.778809917344373,0.583367729330217,0.49382377488669,0.599156094619502,0.957695976238781
45,0.747884298821746,0.945979935447827,1.00411123817989,0.774867036030966,1.40522607532733,0.544359946688741,0.787548560897909,0.590457898008069,0.497819864656878,0.604924979350989,0.965952733477976
46,0.738224587064591,0.930873582752912,0.987186441605845,0.763359678364181,1.38492358095772,0.537105965540771,0.775937871714675,0.581868616875472,0.491807044854116,0.596748490918778,0.954510818303385
47,0.755336744850494,0.955845942169891,1.01543493762059,0.782538261777139,1.41959368870946,0.549535466472767,0.795490533261878,0.596794492273476,0.50311767553767,0.610997588148894,0.975319214235187
48,0.752827698085585,0.947053684414826,1.00331071559742,0.777623721963287,1.41062808883867,0.547831565674974,0.790328454497436,0.592324537205559,0.501854219692812,0.608240313057319,0.973853924386043
49,0.730237588257067,0.920545917294066,0.978452404510278,0.755580104094325,1.37045390286876,0.531928351130083,0.767721648911617,0.575147371212366,0.486424762837399,0.590392977227197,0.943167764059254
50,0.756247590415296,0.959522824778974,1.01858363886374,0.784443747364769,1.42278650428837,0.550113485234606,0.797527540233234,0.598529631764926,0.503334411503495,0.611988617791204,0.976407901847014
51,0.747153139402678,0.9390227685089,0.99456142718879,0.771173438840982,1.39934352564972,0.543531935501599,0.783866195169408,0.587680987797109,0.498186497134317,0.603553926984177,0.96699197160254
52,0.750619297326977,0.947956309743661,1.00813099940185,0.777331555440806,1.40986668524161,0.546623381698359,0.789899347360459,0.591974050517629,0.499997704568534,0.60704828014568,0.968929421488679
53,0.741057669511142,0.934057010016699,0.989611767397689,0.766331543237154,1.38982690120347,0.539365599807648,0.778832846938822,0.583689259005179,0.493608102002796,0.598957694914356,0.958291811910284
54,0.749655252547103,0.947987871769159,1.00765539776332,0.776485176098035,1.40871235858489,0.545623393793898,0.789260597884452,0.591988765675926,0.499218373292672,0.606399228675576,0.968073797903664
55,0.740991724807302,0.933908776137006,0.989469974444798,0.766093088908255,1.38960146277832,0.539105430007883,0.778668843750764,0.583745114622914,0.493730537220135,0.598868600418938,0.958185956362501
56,0.749761939801414,0.948108342231126,1.00777920250928,0.776575470542405,1.40882751426021,0.545660324235535,0.789362485902182,0.592070754782428,0.499430827525023,0.606456549670769,0.968150449956501
57,0.754253001380045,0.950637958310842,1.00724595483461,0.779810532035241,1.41452708711548,0.548811328190551,0.792611781608876,0.594210523311724,0.502628208209912,0.609597266820881,0.975321244747863
58,0.74786550512613,0.941918042041737,1.00050215075838,0.773310749163324,1.40276130406874,0.544624114335691,0.785795207831435,0.588762907824819,0.498293214392599,0.604507795975417,0.966417359044927
59,0.754004943547247,0.951738313051332,1.00993127629251,0.780490015018551,1.41543328599123,0.548952755764608,0.793156235272741,0.594392733392657,0.502047443078591,0.609656534539312,0.974180086744643
60,0.745013055527366,0.938143632164261,0.995258819043548,0.770160202102105,1.3969893368027,0.542373520569659,0.782647782789897,0.586448482640866,0.496228924840414,0.602136291773619,0.963242300273786
61,0.754831316302754,0.953593532548797,1.01283880651255,0.781630488892835,1.41767571040898,0.549459198839406,0.794370479786782,0.595485562992561,0.502573499023504,0.610449895781667,0.974896474759359
62,0.74860281036879,0.942234397257022,0.998762431715591,0.773622900121124,1.40319994489283,0.544862335059227,0.78619077059797,0.589095695136628,0.49872191835293,0.604933353209166,0.96812817034534
63,0.753705050121751,0.951201515587802,1.01072254326356,0.780164679535693,1.4150546009399,0.548791843275799,0.792803859241351,0.594152588585484,0.501913033022657,0.609462828757025,0.97346740462038
64,0.748639253142407,0.942856305136371,0.999471679966407,0.773979948755068,1.40369852819528,0.544957929716757,0.786524430655038,0.589293101846139,0.498624456893482,0.605036754715038,0.967985984089256
65,0.730108042898582,0.921365809414722,0.978929739342877,0.755669898373122,1.37068227420414,0.531576259867031,0.767934172751642,0.575556519458713,0.48617130934911,0.590375099876128,0.943117052331539
66,0.757895951779269,0.961435144150794,1.02057647909688,0.785954444066416,1.42569054133688,0.551135209253923,0.799128651552696,0.599868264339854,0.504554085640737,0.613283892017552,0.978600537685371
67,0.739935927961068,0.929317399673156,0.984205981671028,0.763495948579705,1.38537189160729,0.538303394152309,0.776028716906939,0.581710440029454,0.493506713199466,0.597638990481824,0.957693207803364
68,0.761053569368481,0.963315746186204,1.02501465505159,0.788950207342139,1.43098010495114,0.554137268179072,0.801814140205619,0.601202115502428,0.506871298612624,0.615741269571918,0.981928297684829
69,0.75956295021713,0.953920299506914,1.0092400461714,0.784028444465094,1.42199870051112,0.552900678883418,0.796723117620475,0.596772424019013,0.506215384897364,0.613479208902586,0.983223554781397
70,0.756791850906225,0.95243283228247,1.01316570113533,0.782688905401482,1.41956651085858,0.551592894446547,0.795071080057066,0.595237621692868,0.503948511245702,0.611772666949152,0.977457823569642
71,0.730642170270771,0.92004716408522,0.975042076906799,0.755648090351259,1.36992290979809,0.532118274014404,0.767707836833644,0.574754453561933,0.486221550257274,0.590501543749414,0.944606245530835
